screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
Nathanbasw,3579,598,82,1283,0,94
dunabit,3518,57850,287,315,518,23305
katguzmann,3607,5305,470,2045,21,1599
meghanmcarr1,1446,16368,298,518,223,19647
j_barria,3229,1142,259,543,6,1654
vyraun,1065,2440,99,3006,1,32
mgrautoff,3507,1213,944,910,30,27767
nellygocheva,1087,266,1123,978,23,222
keesh_6,1223,8,0,47,0,3
ak2197798,425,46,268,883,1,36
terrancepmlaw,2402,0,4,106,0,1
sebasariash,2789,3,15,143,0,4
georgosgeorgos,804,110,32,1231,0,0
dariopalacio,4070,1803,1371,310,40,9052
lcastelblancos,2862,69,44,299,1,75
mapis_rios,2653,148,17,176,0,45
deblnia,971,50407,456,783,3,427
jjgiraldoaristi,286,4,0,33,0,8
wriordan,3514,3986,760,976,31,2643
ssolarte,3306,284,267,823,2,1382
drpalacios,3590,53,197,535,1,654
ColombiaOff,455,3,0,32,0,0
Jiang0717,1814,1488,75,400,3,377
MbetajimeJ,1551,5573,74,710,2,2243
alice_inMacondo,436,44,3,106,0,59
cinefilo73070,3200,221,347,3491,0,1231
violetasdev,1412,2339,143,241,19,1420
juliandresbv,1106,102,24,487,0,24
JorgeIRamirezC,2706,800,295,291,0,472
JiviteshPoojary,294,126,28,1086,0,37
ramirofierro,3564,10,74,183,1,21
limboctante,3554,1268,694,550,22,2698
GioAlbarracin,1733,1405,92,773,0,1025
alejgah,3139,5196,402,1871,2,1404
RonanKMcGovern,3143,3,154,111,4,172
blou,3885,139,124,360,4,647
eljhonan,2853,151,97,656,2,657
ElisaMeloB,2858,72,20,9,0,16
carlcardona,2133,173,45,152,0,112
TurriApple,3722,8823,1468,1019,26,83490
diegopajarito,3307,14445,1159,2531,150,14400
feliartu,1818,1492,86,513,0,70
Pachoman,3945,1660,1779,868,68,12218
vVvA,3823,5315,1239,1224,77,5794
CristianGuaje,653,1796,28,219,0,477
germanchou,4025,5780,1146,609,35,11566
aladinoster,2774,1097,190,782,10,546
nozuan,4040,293,3461,198,208,17582
EllaQuimica,1521,7484,1263,2135,58,3734
DataScienceFEM,423,1243,341,374,4,617
raulspot,3674,305,376,1136,5,2280
andresbarreto,3999,2033,21945,2945,914,12432
FerCagua,3892,403,430,584,15,2016
JSnunki,3149,6223,1770,1166,88,5539
xfry,3705,5570,1648,1177,58,9256
rizotas,2051,98,120,333,20,854
marcelogbastos,3823,94,168,307,77,603
HyperFitted,2859,4975,216,464,4,457
ltciro,1062,8673,1660,2672,30,3020
camicasi81,3095,592,234,746,2,494
andresherrera,4160,886,796,1319,29,8848
joebradly,3632,1764,8,248,0,2
johan_avendano,2329,9417,587,1161,4,10813
Villegopolis,3090,104,95,386,3,37
maheshkumark_,1908,3259,200,2505,1,392
eth4io,2913,216,637,619,18,4881
lucastulo,2649,13029,246,2396,1,2373
Vicmunro,3319,2881,2599,1616,114,10784
fracadpa,2598,2167,68,795,0,110
libardgutierrez,3091,3158,127,573,4,3309
kvikas572,2406,243,40,918,1,72
trustswz,3025,2153,2115,507,38,680
heghbalz,1572,17677,681,2843,136,12710
Greg_Croft,2290,1222,38,386,0,43
trujilllosky,296,191,533,1089,0,117
nestorfsantos,3393,67,626,457,11,1509
JaredHeinly,709,1052,509,1494,11,1191
tjukanov,1914,7369,6790,2254,186,4227
ZLTM_david,1233,9808,321,1735,8,1316
dbumbeishvili,1116,403,100,310,3,66
idtq,3386,10929,230,3369,5,2818
azuur,3685,4085,424,1265,3,4003
bharath_kv,3591,5706,106,2184,0,398
GaucheGastropod,1846,7788,356,4999,10,1000
ialuronico,4043,1376,826,2858,122,4055
radfordparker,2222,1041,189,618,10,259
mmoein__,3504,125,16,499,2,16
AndresMaconde,1373,2749,136,2282,0,289
CehernandezEcon,934,2133,638,1005,24,2082
mahdi_karimian,549,428,359,3494,4,47
educalabs_cl,242,0,13,117,0,7
marioale1,3128,386,149,1658,2,252
imuko_co,539,198,62,426,0,184
lui5zm,1331,88,20,244,3,48
faanloco,2930,54,57,93,0,286
krisshaffer,3217,28385,2605,538,231,267
camiloibarrra,2942,1120,388,717,7,1641
selection_bias,1156,121,7,216,0,254
SantiagoCF96,2120,145,15,38,0,24
Rembrandtsx,2091,3936,130,262,3,3095
anamapolancog,2253,0,3,61,0,3
bcpartners,3219,259,123,513,3,185
Didi_pr1,604,34,5,51,0,16
SocialEnBogota,1681,5792,34336,23556,288,1065960
foss4ghfx,260,73,256,1776,1,72
cpintoval,3442,1427,237,979,18,11641
PardoAlejo,2837,290,122,272,0,1639
JuanRestrepo9,2673,32861,1384,3399,46,19604
avilajonathan,3590,433,59,342,0,274
yoresongo,3367,1117,3675,712,89,107142
Psyhistorian,2267,13943,387,4526,18,14291
ArturoDeckard,2220,1831,43,446,0,0
wfpinedar,2492,470,192,495,2,2110
_pedro__vicente,1228,1,14,62,0,16
alejo1287,3298,379,98,115,0,1277
FOSS4GEO,2805,1514,457,1236,32,3852
agytynmaguegg,2260,2181,37,217,5,778
CMorenoK,2331,54,337,483,40,339
_mkazi_,495,540,429,145,20,382
koiralaaaa,3421,366,85,268,2,193
dasrotrad,3382,430,24,378,0,60
mapserving,3590,5164,3993,1663,182,7039
sbardella,3805,2158,279,657,3,588
legrixarthur,1196,851,138,880,1,351
BrianLehman,2295,3662,1034,992,76,2720
AarynOlsson,434,6290,240,1185,5,843
pcrickard,3154,5318,1722,3024,137,8751
Detroit_Geo,3549,2693,121,1186,2,1229
geomenke,4246,14316,2019,1563,119,6967
dcastano,3669,470,286,2480,3,1198
rukku,4068,74993,1559,2480,372,43246
Bogota_SU,811,305,458,184,13,1096
DrArtunduaga,3274,5318,4905,5459,254,9638
chrismarx,3801,4086,430,1025,16,1845
danc00ks0n,3326,24309,3527,4999,117,14182
phillipsjm,3981,1309,852,2521,41,2192
FadlounSamiha,991,111,26,232,0,39
severalchars,429,1009,59,628,1,46
moritz_stefaner,4351,16461,16209,1348,1241,16017
richielionell,3556,3646,267,590,34,4832
isarbahamon,485,10722,93,439,0,12847
AVdestined,1667,751,0,662,0,318
buggymcbugfix,768,4565,277,604,16,1932
RicardoSabogalU,2442,10693,35001,682,124,16627
Onosz,2386,4730,807,4146,17,4019
markhm,4238,1124,663,3685,28,1438
IvettAlexa,1367,5748,1038,492,50,718
charlesyeo,3651,1305,376085,117610,3850,79929
santir2004,2869,110,5,179,0,99
gingerbeerux,959,11017,68,1739,0,416
EngagingData,1264,309,118,101,1,361
AEcheverriR,386,41,6,68,0,24
Ravelinx,1520,31,9,40,0,26
TomasVenegas6,387,0,3,15,0,24
jmdominguezWebD,385,140,3,74,0,119
sebas9064,1216,48,13,69,0,44
MintBookings,1179,11,3856,4637,4,4
amartiu,2955,21,21,68,0,1860
AlexstradaI,467,255,54,939,0,219
RayaSharbain,1736,1613,501,2624,28,1918
samihamumu,2007,4236,190,477,2,407
jairoruizsaenz,1638,4,10,19,0,6
suriname0,1186,754,62,740,0,49
AnnuskaP,3847,1580,607,1987,13,854
Realseanhollins,290,66,20,481,0,79
craiganslow,3954,5366,865,1845,47,5043
proyectoeden,3147,1857,127,501,1,1366
DoctorET,3153,1664,1352,2094,36,1444
andrikos,3778,976,1488,475,88,6589
jdavid167,2457,646,113,778,0,2275
San_Genie,2223,27271,219,332,2,8995
LuzAdri123,2103,91,1,216,0,3528
majo225,3384,3518,135,494,0,3009
DianaCMJ_95,430,609,63,975,0,169
andresgrossov,2689,12435,167,663,1,2079
JorgeaCAMACHOl,3246,1723,2048,4991,21,18851
alexamarbo,2408,2407,36,217,0,5637
GusPe_GPF,2449,20419,447,1079,10,4646
elcachaco,3510,5156,3694,1073,84,66863
sendicmpf,1695,2341,356,1236,187,7442
ClauAlcaldesa,798,8408,647,1031,1,3290
gabrielont,2503,11060,818,3003,6,20135
bertdg,3493,668,127,4995,0,1
andrescarreo2,2850,207,17,305,0,50
AndresBorraezA,2393,944,378,1249,4,21086
ArturoSin5,1963,81333,999,2099,3,95579
laminahmed5,440,45,15,659,0,40
e2d3org,1396,3680,1633,4000,284,8171
datakmart,1583,9954,2133,497,97,2998
sanegaytan,3579,2253,690,448,40,20120
alexbfree,4114,8601,1614,3391,128,6706
dagrado92,2377,1,18,135,0,7
sergiocabrero,3331,186,356,717,17,834
kierancutting,2620,13313,1411,3627,25,13322
itsnotmyfault01,3177,331,295,4845,3,3138
Juan__Gonzalez,3543,4734,573,1093,68,9656
carina211,3851,3237,1613,981,154,9839
wakouboy,1115,9,1,78,1,39
blackdrummer88,2043,1638,253,1180,0,1083
vastur,3561,197,420,326,16,176
SlackHQ,2149,155366,380406,145510,5975,225352
salomonheim,1475,57347,97,804,0,13126
thedatavizart,591,151,215,899,2,5
reydward,3443,19,65,186,0,150
myANdrew16,3042,3628,131,226,9,6957
RamirezAmayaS,2619,3459,462,1581,5,11050
luialopezg,3262,4821,78,320,0,3112
juanfer_medina,635,5,3,11,0,22
marcotulioteran,3176,86,144,626,18,2242
sonnykwe,3532,0,29,75,0,5
fruys,3616,1549,2222,1239,135,1740
dalbersszafir,3030,1391,1026,1003,60,781
sabrina_nusrat,3467,773,28,298,0,45
ganarg2003,2480,5420,58,246,2,2934
TebanDeSade,2868,1274,325,946,13,2830
bdryja,3504,225,93,286,5,132
William11008843,404,173,1,111,0,6
nletcher,3535,14136,567,3957,9,561
danihriverac,2014,79927,1419,2465,52,29069
DRCASTA,3617,149,79,1579,0,33
pvictoria15,2767,2601,1178,1199,5,36379
eliana_mejia,3701,1336,449,1822,12,1440
adaircotes,390,84,23,233,0,103
PiCaLla,3180,3511,147,979,2,4409
LasGafasPuestas,3027,15384,733,939,9,16630
catabotello90,2594,80,154,145,2,609
JuanSebastinH12,362,107,13,340,0,32
VebiBautista,3155,21,6,144,0,50
Karelman,3738,621,1217,1288,158,23926
JuanDHernandezG,3229,1408,486,710,52,3883
MarioEstradaL,2239,216,63,394,1,151
carlosdiversity,1670,313,183,390,1,359
biconnections,2539,44650,63744,44912,13061,412007
mariarestrepov,1079,865,14,648,0,70
andinet99,3243,18548,240,3377,1,477
PatillaCountry,3242,205,123,268,1,397
reypipino,3128,67,82,552,1,258
harrycampaz,3106,597,4822,753,41,10714
epidermicus,2466,1519,45,446,0,1667
elperro_romero,2315,3844,328,1202,3,3610
nicoguaro,2733,1567,239,195,21,6428
goanpeca,3010,1450,738,4790,10,1483
PucheNavarro,3104,17683,768,621,12,10599
guevara_galindo,416,2043,35,163,0,1164
lilimaca_,2933,1939,149,440,0,7199
fejuanpe1012,1407,13513,75,427,0,403
soliviantaos,743,323,87,902,0,310
MAUROBATI,3241,14,243,1057,1,3403
andrurb,3416,510,113,544,5,1927
EyderRojas04,1218,2057,86,765,0,484
Alqui84Forero,2216,2587,119,435,0,1502
garagge,3442,598,236,861,13,1196
patolozo,2928,2900,245,848,2,3785
ChirrySandoval,3483,2319,432,1067,2,7356
narizam28,2337,45317,669,507,5,13665
alfredoardilag,2892,3118,1044,880,13,34864
luis_arley,2832,89,103,747,5,77
jessecogollo,3215,5892,696,985,43,6826
fabicas,3498,413,499,2377,5,4567
evegah97,1471,5,19,140,0,6
lufemoca,3288,42,8,77,0,5
http_417,3219,253,429,4978,5,5301
Henn_DLH,3645,107,176,382,2,684
vanemendezr,3503,2361,722,1468,1,4046
RincondeDiazSuS,1773,820,355,3946,4,2322
JaimeCardonaVil,694,100,143,1078,3,845
metodocuantiusa,1486,177,47,63,3,103
arcadeanalytics,444,40,2207,4963,30,42
DavidAKrupp,815,2241,869,553,46,877
Infosourcer,4345,18055,8501,9402,644,12351
BenTwist14,686,688,67,838,0,37
FmFrancoise,1382,30349,7898,8548,3643,126643
UnAltoFlaco,2876,19137,362,2495,2,11660
cmlesquivel,3276,2132,290,1150,8,2271
jmolinaVar,2554,1838,321,687,4,2680
jsneiza,3236,138,155,221,6,216
mabhi5670,500,14,10,551,0,1
RISC_Software,898,25,42,173,1,107
oigonzalezm,3359,2270,47,199,1,263
bikthor,3735,19838,503,1346,64,44607
PVacaV,2718,2980,5255,1998,58,4631
adefajar2014,1325,31,49,944,0,343
Aay17ush,1406,3372,133,1454,1,574
hydrosquall,2696,4074,677,2197,130,1252
JKennethGuerra,3126,1007,1182,1307,39,4693
hoyoscata,3564,500,154,163,1,161
_Cristian_Silva,2849,373,100,780,0,3
mfrazzini,3940,6836,107,795,6,719
lotalorafox,1306,246,43,405,1,186
sergio_arod,2878,2981,150,369,0,2378
anniemacua,2804,3576,130,623,8,985
emartigo,2071,347,123,317,0,321
calypso_bronte,2683,5145,975,4776,13,4356
EsneiderVGo,569,12,12,105,0,47
alej4mbd,3515,8701,422,1030,8,4072
sirMubarakh,356,11,11,120,0,9
fboteroj,3724,1900,2585,1261,49,8122
mk300ss1,1060,21,3,95,0,9
nodoticRda,357,110,41,530,0,168
cronosnull,3653,1926,384,387,24,5883
penubar,3437,610,67,423,0,558
NicolasCabrer,385,25,10,19,0,29
silenceway,4039,199,1727,4981,127,64582
sinasbesto,2575,2936,1555,2119,5,4479
GalvisNieto,1728,2146,162,1309,0,814
DatosFrescos,603,478,244,1734,2,259
coautonauta,3566,387,1864,1001,111,10917
noalsilencio,3877,5390,5033,2734,218,45342
PENGUINANA_,3394,25192,1471,1629,159,37085
jennasaurus,3705,135,127,153,6,131
wittjeff,3624,311,441,2895,21,247
ManjeetRege,3210,44909,18310,23271,217,5193
4rshdeep,723,0,13,386,0,7
Samujjwal_Sam,2364,753,220,2577,1,275
AciemRisaralda,376,14,260,2539,0,107
CesarSan7,2646,41,156,239,0,100
poderosaschicas,2072,2081,7401,532,210,2569
aibreaker,1712,693,25,337,0,151
ItzMuHasaN,2236,19082,590,420,6,3271
DenisFitz57,2208,18,180,5001,2,11
ismaelgomezs,3485,4418,472,1432,16,3403
mirzask,3823,3464,169,1048,4,1627
f_l_o_u_r_i_s_h,1000,429,3290,1494,117,283
karstetter,4341,5783,949,731,180,3858
zekiakyol0,406,2040,186,2248,2,175
DataScienceInR,1023,173,621,874,84,885
WinVectorLLC,2142,1833,2039,1996,230,3161
Sandippalit,3144,19,2,54,0,11
rcorredorj,3484,1272,315,681,21,1858
PaoPrieto,2492,2879,203,484,7,1344
tgogos_,1786,151,62,942,0,69
jonnynewburgh,901,8316,0,1714,0,90
rzapatal,3557,1753,1874,1466,40,9837
wavyboi95,982,331,9,184,0,112
dsrastorguev,1957,891,321,4430,8,903
gregariouswolf,403,16,41,158,0,1116
Harry_Stevens,3442,2015,3495,1144,151,4953
epicyclist,2671,496,45,336,17,1018
bcem_uniandes,1209,138,128,350,0,106
phantomfractal,2777,359,4766,12585,74,45662
CeGonzalez13,553,15,5,4,0,23
dimkagialis,505,425,135,4491,2,851
camontenegro11,385,39,8,43,0,45
Benzwq,2536,240,10,164,4,32
nicholashamlin,3097,686,508,1610,13,593
Nicolas_Agui,2977,17,73,79,0,93
David_Laiton,3042,26571,142,635,0,1811
jmalovera10,386,9,3,12,0,25
fbarrientose,2465,24,60,825,5,280
3r1nG,3520,8237,4505,4959,146,28871
shuqi530,1964,0,9,1021,0,1
JaneLovesData,411,61,20,66,2,122
joshpresto,2705,2784,324,231,13,1550
karlosaugus,3252,29,32,127,1,57
lilachmanheim,2434,8444,1445,602,76,3098
saouderkirk,3510,7733,3201,4999,143,5011
BelGuede,1568,564,677,556,11,544
Daot_64,1891,202,69,430,7,1585
accthacked0,833,281,0,4036,0,0
AlisonDavey,3669,491,145,711,10,552
dhandeepjain,3425,5,512,635,9,454
DanRubins,2388,1703,1214,1765,100,1248
emailmleonard,1601,2,34,1094,1,8
dnjfrmqwoddl,429,6,0,26,0,3
kristammar,3768,2126,256,907,10,824
Tommy83407948,601,2,1,101,0,16
TagwikiEs,1411,326,528,1151,53,2323
Yashs744,2563,1846,141,746,0,77
Daniel_M_J83,3381,19703,1588,5002,16,6160
josemolingracia,632,1697,138,1402,4,563
mostr8,3221,7262,201,1017,0,2751
ftoresh,3508,253,284,705,4,1459
datakarpenter,3917,1183,516,5009,10,898
stonegao,3705,5569,490,4760,27,1212
JoelBomane,4113,7301,1698,4973,54,9032
ukrdailo,2395,161,60,297,2,96
julianavalango,457,10,100,715,6,967
digitalbizumzl1,480,5,77,636,6,870
JhanakParajuli,1381,793,151,715,3,563
karthik_badam,1577,444,251,410,11,79
felipezambranob,2364,1120,409,3380,3,400
reroes,3497,2160,934,1009,72,15372
DanielAlthviz,1536,57,23,38,1,41
Char_does_data,3136,293,109,78,0,1281
s_daptardar,3224,58,82,542,3,364
lia_valero,3309,2429,918,1445,41,3826
ladamaurbana,2032,2453,362,1493,2,2293
wim_vanderham,3232,1,79,318,2,26
osovillada,1986,6536,1355,1203,32,4947
Juandmt22,2353,234,156,1151,2,349
Hermannschwyn,2929,6757,282,2518,13,10326
yuliana_aag,2230,1510,231,954,0,1182
imendivelso,3516,4534,263,603,2,10512
TheColombist,2764,562,832,2007,16,3062
ArangoDavidG,3191,10497,803,2481,17,8121
DianaSalinasP,3346,9769,11459,1063,76,16552
rulinck,2674,108,325,757,2,4545
CarolinaGome_z,3317,12698,809,761,9,7950
ElPoder_Elegir,500,312,1317,66,14,622
de3ug,3524,2342,274,1100,21,967
fabianheredia5,2261,7,41,87,0,154
dandrai,3580,153,146,1776,6,331
clicc_,530,533,204,1508,3,157
clare_mcd,3821,1372,1674,899,245,1856
mikelaingeru,4317,541,1047,1193,98,3374
MeMohanty,2696,705,583,461,12,639
datasketch,1281,1670,2959,866,70,3807
Charlesxtsang,3356,40,4,128,0,32
aryalabhi,1830,16,43,66,0,151
HuifengLin,544,177,17,628,0,21
Leonceano,3417,153,294,310,18,1501
FusionCharts,3724,358,1868,1850,189,2402
ichiki_k,3219,10494,340,958,46,12419
The_One_WR,1448,2843,322,1836,45,6706
drvaIentin,2456,2992,560,1543,24,2589
meguadamuz,718,1778,122,544,2,161
mr_z_ro,3515,3413,742,2072,97,3381
TonyWang_cn,3207,71,102,947,21,1773
MichaelDevinsky,1283,1691,221,1050,12,1592
sadmear,3232,5585,162,477,3,2352
ialeT,3036,35,709,2000,61,1743
timholds,2938,6566,236,1539,4,246
MorganKleene,3033,912,13,437,0,24
tanototo,3142,814,239,1168,16,536
CRVanPollard,2774,2985,695,1102,27,2752
SJTPY,455,197,15,250,0,10
donerrollcruz,3740,3891,293,683,3,11271
bhattaraisr,3211,258,48,570,0,581
FBetancourtC,2660,381,1164,1104,192,928
JulesMariano,3149,5950,1727,656,53,27293
task5622,1795,7290,62,890,1,741
omaraltaher,3219,49,932,204,118,23941
guillaumephd,730,0,13,1018,0,0
chihebchebbi201,1317,865,422,1085,10,1824
pymacbit,430,612,168,208,2,499
kgenom,1579,38,20,486,0,17
accesine,4350,5125,1174,3228,21,200
pablodecm,1771,682,256,1245,14,186
deeppiper,1063,5090,111,3287,47,411
acherm,3455,969,1036,3561,73,7454
bushcat1,3143,575,81,622,0,379
salesforce,3586,13296,447943,160316,7173,55317
lalatweets01,1036,174,91,745,0,1115
SanazBahargam,1473,3842,641,565,13,560
EMastai,479,88,2,145,0,0
maalvarezl,2364,1574,465,409,6,468
joaodtroia,721,215,103,971,0,381
CanBritGirl,3506,791,186,390,5,718
dficenec,3596,62,23,210,1,22
ivanajwilliams,1848,1459,749,1151,75,830
memoselyk,1386,1441,54,760,1,110
anupamme,3808,753,172,896,3,703
SepehrAkhavan,2712,1049,249,1228,22,615
djherreram,2362,1380,508,5000,4,294
AndreaLPope,821,2,3,37,0,0
Daniela96522348,433,0,0,88,0,0
Branhammertime,3126,1698,510,808,9,787
GarcFab,2588,2657,102,446,3,291
dschnr,3288,1197,362,422,12,175
fit_ml,439,28,3,13,0,32
diegoalejogm,2227,417,127,325,9,235
freestatman,2868,6156,222,850,83,2700
clemens_anzmann,3246,534,246,689,24,1002
rccclr,3578,2332,122,1085,40,4020
tushar_handa,3022,0,168,1891,2,50
CancerMusketeer,2385,457,100,232,3,241
VHIOLETA,3494,1247,6,283,0,89
data_kat,3450,3637,1088,3941,92,1810
lksmth,1051,1055,121,211,9,813
JulianLuqueRod1,447,0,4,116,0,0
maritrinez,2492,433,570,769,50,438
audiopitch_co,752,0,41,371,0,6
daniels13ca,3454,344,153,275,4,6906
omarrojasg,3353,182,97,265,0,3365
casmangabo,2136,507,123,394,127,3392
jennifer870817,1791,424,99,449,4,1455
eavillagran,1673,120,116,143,3,56
yvchin17,1079,0,8,94,0,0
juans3bas,829,110,19,66,5,138
TainLuquez,909,7,2,45,0,0
rodcruzh,2882,2812,663,874,36,10149
macos_lovo,2859,686,219,1377,3,942
hfelizzo1,2908,2101,161,480,3,1039
JancoD7,3605,3260,512,887,38,15808
df_herrera,3106,11,40,92,1,16
geekcesaryop,3104,58,18,224,0,30
soniaardila1,2305,18084,975,465,113,2304
maurosmr,2680,91,34,167,2,756
MileR0920,3064,28,92,280,3,1
AndreaRojas52_A,449,8,2,64,0,4
diegosym,3462,4,40,127,0,60
diazdiegop,2577,20,95,138,1,1511
rikk_uribe,3432,94,138,303,4,604
GiovaFore,832,1,8,30,0,20
jagalvis348,2191,39,36,98,2,49
amacayaku,2364,67,10,63,0,82
juanita_v226,1941,40,54,146,0,25
cptain77,2605,189,0,20,0,56
mausosqui21,1813,193,39,118,0,92
afmpaz,2787,415,159,425,4,421
ManriqueCamila,2780,12,32,74,0,59
juusechec,3017,638,106,207,4,2335
cesarausan,3990,282,234,398,2,2736
overgara2010,3333,828,108,545,4,227
martinmeneses,3633,96,530,3145,15,913
dasalazarb,2962,1229,472,2408,49,680
mauuuuu5,3526,450,37,214,4,630
vidfel,3463,70,151,287,2,194
radnajela17,2990,128,82,112,0,1925
jorge4138,3184,78,66,505,1,156
pacomacondog,551,3,1,67,0,17
g_s_nath,1011,1239,204,1203,147,2088
joelgombin,3845,4779,7968,7294,352,74374
adanvr,3567,24893,74,416,1,959
jesus_leal,3639,416,283,783,34,381
ChristophPepin,2105,20,73,530,2,38
Exoplaneta_,1136,13099,0,169,0,4465
DanEllisScience,894,434,94,357,7,186
DiegoRBaquero,3046,61157,2650,814,70,1726
cerokb,3340,1461,515,1614,42,2725
JoseM_Arrieta,2812,1642,577,2787,65,3401
7auraO,466,39,11,79,0,28
jucearma,1757,162,18,155,0,71
alejo_melmac,3465,3301,95,188,1,119
ivanfelipe05,1867,0,48,933,0,6
WaldFTW,1808,257,57,273,0,118
curiouslemur,531,56,64,171,1,118
miriah_meyer,585,277,922,199,34,107
jamesparsloe,940,3,35,2264,0,0
vega_vis,486,333,1238,84,36,182
torihubertz,2946,642,687,1584,34,2381
CTaftCUs,1003,530,251,681,5,361
h4pz,2987,27,124,622,11,5
robcrock,1480,3737,711,153,57,2180
sjengle,2979,1714,533,352,61,2754
mikesdatawork,1771,1,37,528,1,296
Risacuario,2985,617,191,497,3,362
wgquevedob,3505,50,37,182,0,49
curtishurrikan,631,0,0,11,0,0
aacruzr,3640,264,302,418,27,2461
ricardovaronv,2945,123,69,375,0,235
arqsalazar,2839,58,65,175,0,392
jordanscott__,1217,4703,1095,755,59,1293
gabybouret,2591,1787,1409,2114,99,2391
GregSheridan12,2688,1306,70,850,1,24
louisarcher,3648,5800,1248,1899,98,1964
iranoo45,2295,41,14,184,0,12
Laithon,3353,414,455,633,7,2011
cgscottDVA,1686,6058,850,707,57,1396
dreamsofdata,666,2600,799,1099,29,687
Toby_Baker,3594,537,242,235,15,3698
alexeskinasy,1471,215,136,239,16,206
simplygoodcn,3449,29,21,113,0,93
IngAVargas,3213,1051,295,878,10,2067
Jordanheag,2505,10382,286,3082,8,2074
AlleMeineDaten,743,1716,461,642,19,230
nicodeplaza,2884,59,60,378,2,152
osr2015,2345,0,64,1084,0,3
ShawnWallwork,719,237,139,147,7,206
unclesam51,3625,3139,97,910,1,947
b_murphyb,2019,331,12,136,3,79
SimplVizBest_YK,479,3730,645,478,20,1607
Castillonis,3371,3146,121,191,14,920
JWasilGeo,1557,1344,671,450,50,1123
yjkim1008,1294,2818,137,673,0,2041
jmvergel_tw,2827,55,70,1367,1,151
DepressedATAT,804,2646,17,125,0,356
yacsm,2754,36,39,324,0,27
appfuturenet,2931,2,38,128,2,13
pdiazq,2761,3,19,123,0,32
amanda_patist,1009,11136,1671,2120,84,2903
NynyF,3237,98,122,107,0,110
FALCON_toolbox,502,11,21,87,1,11
ExtensionUD,1420,269,959,2718,2,862
juli_y_ya,2957,349,108,222,1,2396
erikaris,2857,273,153,496,8,785
virtualdz,2969,690,36,388,8,341
machawk1,2569,3111,465,402,44,2072
danielesavasta,3124,44,71,368,6,52
mx_olivares,2797,1368,189,1828,4,319
wardtoward,1499,324,49,657,0,5
jongen87,2880,31,82,625,37,2155
bhargavbardipur,3435,2280,436,4975,42,5172
