__seqId,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class,x,y
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,2.641937220183966,-2.8851190245209732
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624765273723,-1.4033569903742802
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.44936714114984
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,2.641937220183966,-2.885119024520974
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.4883562856930532,-2.3692652031034465
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624765273723,-1.4033569903742802
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,4.0787496386175555,-0.3040255825854645
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish,-10.940514454064145,2.9346533648696886
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.4493671411498394
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal,5.32492759637374,0.006251113690431775
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.4883562856930532,-2.3692652031034465
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,-2.8333762109417013,4.149254425357572
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.44936714114984
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate,-9.163023249433177,3.9508344359346106
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate,8.181987637633089,-4.972738720929874
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate,9.297199298938125,-5.0082746716585
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird,-4.182238273853045,4.337609285716796
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624759743304,-1.403356987962523
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-10.154804991550208,1.7644455552710065
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal,-9.441335502190048,1.0454810952192206
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,-2.8334024324030977,4.14927329627869
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird,-3.749229856468204,3.7348964048382896
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.389530489107348,-1.3668936877319953
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird,-3.459995816885771,5.1069699979734455
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug,9.910227582364403,-4.466120822708523
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amphibian,6.97057469519133,-4.731554770018482
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian,6.978545146724958,-4.824937676266548
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal,-0.474420910522332,1.0341086272043216
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.391113968216796,-1.367410667054079
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal,0.21568182761163812,-0.019929317340722896
30,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,10.118255413450056,-4.304309024312402
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,4.0787496386175555,-0.3040255825854646
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal,0.02226153498941761,0.2681479807553483
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,-4.480922352345566,3.8905969425892164
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-10.62812320124699,2.8593553534654133
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal,5.128683207129371,-0.20854429719597073
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal,5.522132794961425,-1.3652942550841072
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird,-4.182238273853045,4.337609285716796
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.4493671411498403
39,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bug,10.56400585466139,-3.8968017003509656
40,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,10.318418561247404,-4.084681809528027
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Bird,-4.665089347867512,4.713197797818255
42,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug,9.988048773402651,-4.519637043120392
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,-3.415782809972599,4.354480624159152
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.977800970879025,-2.7174610059092834
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.60315674657332,-2.8739511413756187
46,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate,9.29740130297075,-5.008497379745063
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.488356285693055,-2.3692652031034465
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mammal,3.792301894761072,-3.6957825328709237
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal,5.039372267352244,-2.740775734646859
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.60315674657332,-2.8739511413756187
51,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug,10.318376874098034,-4.084621903784542
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian,6.729848556922266,-4.514655635312645
53,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrate,10.072984824613485,-5.568097817182298
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal,5.039372267352244,-2.74077573464686
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.505971912000942,-1.4031272420822334
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird,-3.931016876176517,5.465123299667098
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,-2.833376210941701,4.149254425357571
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Bird,-4.824510249942443,5.147874572249011
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,-3.415782809972599,4.354480624159152
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-10.154804991550208,1.7644455552710065
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.4493671411498403
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile,-8.985032586939608,2.78356794598701
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mammal,4.177855824408665,-4.226555648475086
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.977800970879025,-2.7174610059092834
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,4.0787496386175555,-0.3040255825854645
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal,-9.441707799324996,1.045827910270964
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.488356285693055,-2.3692652031034465
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal,3.06922769036865,-1.3523650862958294
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.977800970879025,-2.7174610059092834
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,4.0787496386175555,-0.3040255825854646
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Bird,-4.5537226706396785,5.282393631364863
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrate,10.50363691420439,-5.432601673693953
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-10.62812320124699,2.8593553534654133
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal,-9.253809151326204,0.82562473259534
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal,-0.4482869857496242,-0.13413591414915682
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile,-11.046503267002036,1.9944851762449656
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate,-9.507464431158272,3.865365190418621
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,-4.480899678105115,3.890614441066069
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird,-4.480899678105115,3.890614441066069
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile,-9.042847154712799,2.7929775563199737
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate,-8.820181379640104,4.106755925741531
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish,-10.62812320124699,2.8593553534654133
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,-3.4157828099725993,4.354480624159152
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal,-0.3210765363602262,0.764470070477161
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate,8.723606248072022,-4.958893523288562
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish,-10.569257312173473,1.6392553274145611
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird,-3.5402311760486427,5.208564949353868
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug,9.910025039649264,-4.466555400934585
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian,6.987314676392165,-4.722815244136929
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptile,6.406342008312765,-3.5523522804202115
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptile,6.5521758573475815,-4.212026413578718
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-10.154804991550206,1.7644455552710065
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal,-0.47476991375544664,1.0339049484863123
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal,5.522132794961426,-1.3652942550841076
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird,-4.215026330681891,5.017201476520232
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mammal,-0.16744628630975578,0.4035211466901632
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bug,10.477658408730557,-4.000969457089983
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.977800970879025,-2.7174610059092834
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate,-8.820094942165396,4.1068036577670455
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird,-3.4157828099725993,4.354480624159152
